hjem heim
hjemmet heime
fjorder fjordea
øyer øya
fjellområder fjellområda
områder områda
heier heia
åser åsa
topper toppa
meste mæste
slike sånne
programmer program
alternativer alternativa
fengsel fængsel
sent seint
nesten næsten
spill spæll
spillere spællera
spiller spæller
spillet spælle
nemlig næmli
fleste flæste
fiendene fienda
etter ætter
sett sjett
egentlig egentle
foretrekker foretrække
foretrekke foretrække
googlet googla
inn innj
sider sia
side sie
fyller fylle
noen nån
dette herre
busker buska 
finnes finne
arter ataa
enn ennj
danner dannje
skoger skoga
ren rein
ligger ligg
sletten slætta
byen by'n
pålegg pålægg
laget laga
ostehøvel osthøvel
inneholder innjehelj
vannet vannje 
fordampet fordampa
kilder kilda
noen nån
meierier meieria
produkter produkta
enkelte ænkelte
lever levve
utviklet utvikla
spiser spise
mest mæste
drevet dreve
tyngre tynger
krefter kræfta
virker verke
vingene vingan
begrepet begrepet
dekker dækkke
deler dela
hoveddeler hoverdela
bremser bræmsa
årene åran
halvannet halvannja
slutten slutt'n
vite vite
tilbringe tilbring
dagene dagan
kronen krona
vender vende 
tilbake tebake 
legge lægg
planer plana
vente vennjte
bedre ber
ettersom ættisom
forhåndsbestilte forhåndsbestilt
hoppet hoppa
bare bærre
glem gløm
mye my
siden sia
forresten forræst'n
nogen nån
vokse voks
oppdateringer oppdateringa
rettet rætta
gjorde gjor
endret endre
måten måt'n
mange mang
kunne kunnja
planeter planta
spillets spællets
punkter punka
ferden færden
reise reis
planeter planeta
tross tråss
